date,Hora,Entrada,Salida,Autos,Porcentaje
20/11/2024,12:30:17,686,355,331,9.41
20/11/2024,12:34:29,770,370,400,11.38
20/11/2024,13:27:17,987,508,479,13.62
20/11/2024,14:52:58,1263,707,556,15.81
20/11/2024,15:17:29,1386,886,500,14.22
20/11/2024,18:08:44,2358,1627,731,20.79
20/11/2024,19:08:53,2781,1970,811,23.07
20/11/2024,19:57:58,3112,2303,809,23.01
20/11/2024,20:35:41,3295,2558,737,20.96
20/11/2024,21:01:25,3351,2751,600,17.06
20/11/2024,22:05:53,3446,3136,310,8.82
21/11/2024,11:48:50,572,239,333,9.47
21/11/2024,15:23:19,1558,969,589,16.75
21/11/2024,17:43:08,2303,1563,740,21.05
21/11/2024,19:49:50,3324,2396,928,26.39
21/11/2024,20:22:27,3526,2619,907,25.80
21/11/2024,21:52:54,3741,3264,477,13.57
22/11/2024,11:46:09,572,214,358,10.18
22/11/2024,12:46:30,883,94,789,22.44
22/11/2024,15:14:55,1705,984,721,20.51
22/11/2024,16:07:10,2083,1230,853,24.26
22/11/2024,17:05:44,2515,1508,1007,28.64
22/11/2024,18:08:57,3059,1897,1162,33.05
22/11/2024,18:53:49,3059,1897,1162,33.05
22/11/2024,19:11:47,3736,2416,1320,37.54
23/11/2024,15:14:33,1894,967,927,26.37
23/11/2024,15:53:33,2000,1000,1000,50.00
23/11/2024,15:54:14,2000,500,1500,75.00
23/11/2024,15:55:22,2000,700,1300,65.00
23/11/2024,16:27:29,100,0,100,5.00
23/11/2024,18:29:13,1500,0,1500,42.66
